PARCEL_LID,CAL_ACREAGE,geometry_area_m2,geometry_acres,total_pixels,valid_pixels,pixel_area_m2,pixel_acres,diff_acres_cal_vs_pixel,diff_pct_cal_vs_pixel,diff_acres_cal_vs_geom,diff_pct_cal_vs_geom
0207CRM34E7HDXHMEP7GGA,0.4476,1811.3390445434984,0.4475912298778555,8,8,7200.0,1.7791571737099874,-1.3315571737099874,-297.48819787980057,8.770122144508008e-06,0.001959365984027705
0201AJHZLK7Q813NT6I48W,7.3252,29644.095756062685,7.325209114242322,48,48,43200.0,10.674943042259924,-3.3497430422599246,-45.72903186615962,-9.114242322638688e-06,-0.00012442311913174643
0202H9HY7Q4GG3UG63BA4Z,0.1722,696.955403864172,0.17222127868623377,4,4,3600.0,0.8895785868549937,-0.7173785868549937,-416.59615961381746,-2.127868623377771e-05,-0.012356960646793097
0200UL1MK3W3IFWA82ZFCV,0.1162,470.15278717862907,0.11617718111786152,2,2,1800.0,0.44478929342749685,-0.3285892934274969,-282.77908212349126,2.2818882138481156e-05,0.019637592201791013
0202WFWK3KJ14DWIXH5Y5E,1.4996,6068.722978584318,1.4996127809176294,15,15,13500.0,3.3359197007062265,-1.8363197007062264,-122.45396777182091,-1.2780917629351407e-05,-0.0008522884522106834
0201U5CM171B2NAAOJPFYQ,0.8697,3519.3615434212716,0.8696524078968068,8,8,7200.0,1.7791571737099874,-0.9094571737099874,-104.57136641485425,4.759210319327245e-05,0.005472243669457566
0205M40JJ8AERQSJLC8FWW,1.5315,6197.853048380218,1.5315214878647192,14,14,12600.0,3.113525053992478,-1.582025053992478,-103.29905674126529,-2.1487864719116345e-05,-0.00140306005348458
02035NKM4S2XG43N10BILD,40.4861,163840.83786970904,40.48591695035386,218,218,196200.0,48.48203298359716,-7.995932983597157,-19.749822738167314,0.00018304964613946595,0.0004521296102599804
0207K2EZZVNKJI74RQP2E3,0.2757,1115.8713216227459,0.27573756483366013,4,4,3600.0,0.8895785868549937,-0.6138785868549936,-222.6618015433419,-3.756483366013086e-05,-0.013625257040308618
02022COUKP5VSWMT0IM14B,0.0887,359.03267644724315,0.08871882804130687,3,3,2700.0,0.6671839401412453,-0.5784839401412453,-652.1803158300398,-1.88280413068731e-05,-0.021226653108086923
0202P35WCK5NMQDCI8GE6W,,207813.06368928676,51.351680979645145,711,711,639900.0,158.12259381347513,,,,
0206C4YXGCOMQPEIXI705J,0.9157,3705.8090681485714,0.915724553888341,12,12,10800.0,2.668735760564981,-1.7530357605649811,-191.44214923719355,-2.455388834099459e-05,-0.0026814336945500264
0201DDYZ1F03J5P3LDJEE0,0.2124,859.4640244424033,0.21237799786560527,3,3,2700.0,0.6671839401412453,-0.45478394014124524,-214.1167326465373,2.2002134394738526e-05,0.010358820336505897
0205SMP0OMS5TZL6RDUXJN,0.1003,406.0423076953523,0.1003351506341589,4,4,3600.0,0.8895785868549937,-0.7892785868549936,-786.9178333549288,-3.5150634158903626e-05,-0.03504549766590591
0204QTVNPEIFDY145BC2BA,0.7832,3169.467701489887,0.7831918330483107,9,9,8100.0,2.0015518204237357,-1.2183518204237358,-155.56075337381714,8.166951689259072e-06,0.0010427670696193912
020777P0AUV6K1GOYMEEVF,5.0017,20241.27328762526,5.001723135375392,33,33,29700.0,7.339023341553698,-2.3373233415536987,-46.730578434406276,-2.313537539233579e-05,-0.0004625502407648558
0201B1VO1W96GQPT4TIGCJ,0.1925,779.0677189254291,0.1925116556850074,5,5,4500.0,1.1119732335687422,-0.9194732335687422,-477.6484330227232,-1.1655685007383454e-05,-0.006054901302536859
0204JNHSZTMGJU7PKV5E93,0.1217,492.65737169326883,0.12173818014294263,2,2,1800.0,0.44478929342749685,-0.3230892934274968,-265.48010963639837,-3.8180142942628725e-05,-0.031372344242094265
0205MUERDK0VS774DLFZ61,0.2991,1210.5276308937073,0.2991276275664854,5,5,4500.0,1.1119732335687422,-0.8128732335687423,-271.7730637140563,-2.7627566485444177e-05,-0.009236899527062581
0203FZL4OHVX3RR77Y832N,0.1909,772.4056583438708,0.1908654261189838,5,5,4500.0,1.1119732335687422,-0.9210732335687423,-482.489907579226,3.4573881016186636e-05,0.01811099057945869
0202RYQRA5D5AOIYHR6WPY,0.2756,1115.2218785260081,0.2755770840913716,5,5,4500.0,1.1119732335687422,-0.8363732335687422,-303.4735970859006,2.2915908628406978e-05,0.00831491604804317
0200BJDH9JMXR8HEB6OPWB,5.8923,23845.419430816048,5.89232625561943,44,44,39600.0,9.785364455404931,-3.8930644554049314,-66.07037074495412,-2.6255619430592958e-05,-0.0004455920341902646
02000UWAHU7L3I3OJ3P1N7,1.21,4896.81000283639,1.2100270340057204,11,11,9900.0,2.4463411138512328,-1.2363411138512328,-102.17695155795312,-2.7034005720460996e-05,-0.0022342153487984297
0204QGBTLPNY4J7KUC3O1D,8.7328,35339.85944450607,8.732661728971616,62,62,55800.0,13.788468096252403,-5.055668096252404,-57.89286478852607,0.00013827102838348537,0.001583352743489893
0203HRNIEEL7YJ5J4K4IF7,0.1983,802.4615600760145,0.19829239461607628,4,4,3600.0,0.8895785868549937,-0.6912785868549937,-348.60241394603815,7.6053839237200105e-06,0.0038352919433787243
0206KEJ6CODSSJBZWR78KW,13.9019,56259.180528272416,13.9019339755446,92,92,82800.0,20.460307497664857,-6.558407497664858,-47.17633918863506,-3.397554459994012e-05,-0.0002443949719098837
0203HP86AF05FLGVR4LJDH,0.1558,630.6540933515572,0.15583788254388764,4,4,3600.0,0.8895785868549937,-0.7337785868549938,-470.9747027310614,-3.7882543887646225e-05,-0.02431485487011953
02016F48A65UC77R9MUISZ,2.4665,9981.346647242139,2.4664422903787475,20,20,18000.0,4.447892934274969,-1.981392934274969,-80.33216842793307,5.7709621252399756e-05,0.0023397373303223096
0202EZIKN0CYVTIKBBSLDO,718.0961,2905993.4140424705,718.0859762982832,3450,3450,3105000.0,767.2615311624321,-49.16543116243213,-6.846636705370232,0.01012370171679322,0.0014097976185629222
02007HI9ETV02PTET2THV1,101.1246,409237.1922131967,101.12462309375583,519,519,467100.0,115.42282164443543,-14.29822164443543,-14.139212065546294,-2.3093755828540452e-05,-2.2836931694701834e-05
0203JS1OBKJHY07EBKB10M,0.2136,864.3446181525392,0.2135840177699597,6,6,5400.0,1.3343678802824905,-1.1207678802824905,-524.7040638026641,1.5982230040317846e-05,0.007482317434605732
0204534HH7HOHQ77V8KD9A,2.2818,9234.260024061154,2.281833328571078,21,21,18900.0,4.670287580988717,-2.3884875809887167,-104.67558861375741,-3.3328571078072855e-05,-0.001460626307216796
0205ER5N1C081FBLXU4E1L,74.2295,300394.5272371559,74.22903862183418,383,383,344700.0,85.17714969136564,-10.94764969136564,-14.748381292297053,0.00046137816582358937,0.0006215563432645907
02036BHATUSL16AR11U1BX,0.2293,928.4693232814011,0.22942956348413365,5,5,4500.0,1.1119732335687422,-0.8826732335687422,-384.942535354881,-0.00012956348413364904,-0.05650391806962452
0201I6BB8I4BN5QQ8N5MUV,2.8017,11335.789694768358,2.8011321604326214,23,23,20700.0,5.115076874416214,-2.3133768744162144,-82.57047058629455,0.000567839567378492,0.020267679172591355
0201WDP5IUXOF3AYW8XFIA,11.6486,47139.84043877576,11.648497956137787,72,72,64800.0,16.012414563389886,-4.3638145633898855,-37.4621376250355,0.0001020438622134634,0.0008760182529528303
020755V5OOIT9RY8YTENKK,0.1839,744.3881241569646,0.18394214876644227,4,4,3600.0,0.8895785868549937,-0.7056785868549937,-383.7295197688927,-4.214876644226262e-05,-0.022919394476488646
0200TA9J43SK93WMSXCKRX,6.1949,25069.777736298267,6.194871514284721,42,42,37800.0,9.340575161977434,-3.145675161977434,-50.77846554387374,2.8485715279025214e-05,0.0004598252639917548
0202UFBHVOHXVSSG5WXBL3,20.4034,82569.79606853152,20.40342291765258,118,118,106200.0,26.242568312222314,-5.839168312222313,-28.61860431213578,-2.2917652579224068e-05,-0.00011232271375958942
0206N0WTA6ZQDX80QR6EC4,0.5548,2245.2464485788023,0.5548119896855345,6,6,5400.0,1.3343678802824905,-0.7795678802824906,-140.5133165613718,-1.1989685534508077e-05,-0.002161082468368435
0202WCADZG47GMSCQROMW1,1.829,7401.513945772545,1.8289523101299638,18,18,16200.0,4.003103640847471,-2.1741036408474717,-118.86843306984535,4.768987003611613e-05,0.0026074286515099035
02003UAGQZM10I543PFDQD,0.1148,464.5002599528351,0.11478041245628341,4,4,3600.0,0.8895785868549937,-0.7747785868549937,-674.8942394207262,1.9587543716587108e-05,0.01706232031061595
0202OI6DC6952AI83CWCZ3,0.1377,557.470316863084,0.13775379352462996,4,4,3600.0,0.8895785868549937,-0.7518785868549938,-546.0265699745779,-5.3793524629974776e-05,-0.03906574047202235
0203HBFRKSBYH2PPVBT489,0.1726,698.314370339033,0.17255708631853658,4,4,3600.0,0.8895785868549937,-0.7169785868549937,-415.3989495104251,4.291368146341901e-05,0.024863083119014487
02025Z47FD29Z83QW9R9LU,12.4314,50307.831697722744,12.431324952610849,75,75,67500.0,16.679598503531132,-4.248198503531132,-34.17313016660337,7.504738915109499e-05,0.0006036921758699341
02006MVZLOC5NTBR1LNM1L,59.5199,240869.67573317012,59.52014048748168,319,319,287100.0,70.94389230168575,-11.42399230168575,-19.19356770035862,-0.00024048748168326028,-0.00040404550693677295
0201GL5YEBU6XNODXIOTEU,0.2855,1155.3315137192114,0.28548838203427135,4,4,3600.0,0.8895785868549937,-0.6040785868549937,-211.58619504553195,1.16179657286275e-05,0.004069340010027145
0207HBJMILAJAXEIQWM9FF,1.1347,4591.915858529033,1.134686116774248,11,11,9900.0,2.4463411138512328,-1.3116411138512327,-115.59364711828965,1.3883225752131523e-05,0.0012235150922826757
0204EYFUE13F5B09XJ11OQ,0.2076,840.2484826670293,0.20762973828277462,4,4,3600.0,0.8895785868549937,-0.6819785868549937,-328.50606303227056,-2.9738282774610658e-05,-0.01432479902437893
0201BM79E0F7XZCWQMWYKD,0.2033,822.7213504917502,0.20329869342941198,5,5,4500.0,1.1119732335687422,-0.9086732335687422,-446.96174794330653,1.3065705880277445e-06,0.0006426810565802973
